x,y,z,t
0.0,192.0,0.0,idle
0.0,-64.0,0.0,idle
64.0,64.0,0.0,idle
0.0,0.0,0.0,idle
0.0,-192.0,-64.0,idle
0.0,192.0,0.0,idle
128.0,0.0,0.0,idle
-192.0,0.0,64.0,idle
0.0,0.0,0.0,idle
0.0,0.0,0.0,idle
64.0,0.0,0.0,idle
128.0,-64.0,0.0,idle
-128.0,0.0,0.0,idle
0.0,0.0,0.0,idle
320.0,0.0,0.0,idle
0.0,64.0,-192.0,idle
0.0,-64.0,192.0,idle
0.0,64.0,0.0,idle
-320.0,0.0,0.0,idle
-64.0,-192.0,0.0,idle
64.0,0.0,-64.0,idle
0.0,192.0,0.0,idle
0.0,0.0,64.0,idle
320.0,0.0,0.0,idle
-320.0,-192.0,0.0,idle
0.0,192.0,-64.0,idle
0.0,0.0,64.0,idle
0.0,0.0,-64.0,idle
320.0,0.0,-128.0,idle
-320.0,-64.0,0.0,idle
0.0,-320.0,0.0,idle
0.0,320.0,0.0,idle
0.0,-320.0,0.0,idle
-64.0,-64.0,0.0,idle
0.0,64.0,0.0,idle
64.0,0.0,64.0,idle
-64.0,320.0,-64.0,idle
64.0,-320.0,0.0,idle
0.0,0.0,64.0,idle
320.0,-64.0,0.0,idle
-320.0,384.0,0.0,idle
320.0,64.0,128.0,idle
-384.0,-64.0,-192.0,idle
0.0,-320.0,192.0,idle
0.0,320.0,0.0,idle
64.0,0.0,0.0,idle
320.0,0.0,0.0,idle
0.0,0.0,0.0,idle
-320.0,0.0,-64.0,idle
0.0,0.0,-320.0,idle
320.0,0.0,320.0,idle
0.0,0.0,64.0,idle
0.0,-320.0,0.0,idle
0.0,320.0,0.0,idle
-320.0,-320.0,-64.0,idle
0.0,-64.0,64.0,idle
0.0,0.0,0.0,idle
320.0,0.0,-192.0,idle
-320.0,0.0,0.0,idle
0.0,64.0,64.0,idle
0.0,-64.0,-64.0,idle
0.0,192.0,0.0,idle
0.0,-192.0,0.0,idle
320.0,0.0,0.0,idle
-320.0,192.0,64.0,idle
-64.0,-192.0,128.0,idle
64.0,0.0,-192.0,idle
0.0,192.0,0.0,idle
320.0,-192.0,64.0,idle
0.0,192.0,0.0,idle
0.0,-192.0,320.0,idle
64.0,128.0,0.0,idle
0.0,0.0,-320.0,idle
-384.0,64.0,320.0,idle
320.0,0.0,-384.0,idle
0.0,0.0,0.0,idle
0.0,0.0,0.0,idle
0.0,0.0,0.0,idle
0.0,-64.0,64.0,idle
0.0,0.0,0.0,idle
64.0,-128.0,0.0,idle
0.0,0.0,0.0,idle
-64.0,192.0,0.0,idle
0.0,0.0,0.0,idle
64.0,-192.0,0.0,idle
0.0,192.0,-64.0,idle
0.0,-64.0,0.0,idle
-64.0,0.0,0.0,idle
0.0,64.0,0.0,idle
64.0,0.0,0.0,idle
-64.0,-64.0,64.0,idle
64.0,-128.0,-64.0,idle
0.0,0.0,64.0,idle
-64.0,64.0,-64.0,idle
0.0,0.0,0.0,idle
0.0,0.0,192.0,idle
-320.0,0.0,-192.0,idle
384.0,-64.0,0.0,idle
-64.0,0.0,192.0,idle
0.0,64.0,0.0,idle
0.0,128.0,0.0,idle
-320.0,-192.0,-192.0,idle
0.0,192.0,192.0,idle
320.0,0.0,0.0,idle
0.0,-128.0,-192.0,idle
0.0,0.0,0.0,idle
0.0,-64.0,0.0,idle
0.0,0.0,0.0,idle
0.0,0.0,0.0,idle
0.0,192.0,0.0,idle
0.0,-64.0,64.0,idle
64.0,-128.0,-64.0,idle
0.0,0.0,0.0,idle
-64.0,0.0,0.0,idle
0.0,192.0,0.0,idle
64.0,-192.0,64.0,idle
-192.0,0.0,320.0,idle
192.0,0.0,-320.0,idle
-384.0,192.0,128.0,idle
320.0,-192.0,-128.0,idle
-320.0,192.0,-64.0,idle
0.0,-192.0,64.0,idle
320.0,64.0,-64.0,idle
-320.0,-64.0,0.0,idle
320.0,0.0,0.0,idle
0.0,64.0,192.0,idle
-320.0,-64.0,-192.0,idle
0.0,0.0,64.0,idle
0.0,192.0,-64.0,idle
320.0,-192.0,0.0,idle
-320.0,0.0,192.0,idle
0.0,0.0,-192.0,idle
0.0,0.0,0.0,idle
0.0,64.0,192.0,idle
0.0,0.0,0.0,idle
-64.0,320.0,0.0,idle
0.0,64.0,0.0,idle
384.0,0.0,-192.0,idle
-320.0,0.0,192.0,idle
0.0,-64.0,-64.0,idle
0.0,64.0,0.0,idle
320.0,0.0,0.0,idle
0.0,-192.0,64.0,idle
-384.0,0.0,-64.0,idle
64.0,0.0,64.0,idle
0.0,192.0,0.0,idle
0.0,-192.0,-64.0,idle
-64.0,192.0,0.0,idle
0.0,-64.0,64.0,idle
64.0,64.0,0.0,idle
0.0,-192.0,-64.0,idle
320.0,0.0,64.0,idle
-320.0,192.0,-384.0,idle
320.0,-64.0,384.0,idle
-320.0,-320.0,-192.0,idle
0.0,320.0,0.0,idle
0.0,-320.0,0.0,idle
320.0,0.0,192.0,idle
0.0,-64.0,-192.0,idle
-320.0,192.0,0.0,idle
0.0,-64.0,192.0,idle
320.0,64.0,0.0,idle
64.0,-64.0,-64.0,idle
0.0,0.0,0.0,idle
0.0,64.0,64.0,idle
-64.0,0.0,-192.0,idle
0.0,0.0,0.0,idle
0.0,-64.0,0.0,idle
0.0,64.0,0.0,idle
0.0,0.0,0.0,idle
-128.0,0.0,0.0,idle
192.0,0.0,192.0,idle
0.0,-64.0,0.0,idle
-64.0,64.0,-192.0,idle
0.0,0.0,64.0,idle
64.0,-192.0,0.0,idle
-64.0,192.0,-64.0,idle
0.0,-192.0,192.0,idle
-320.0,192.0,0.0,idle
320.0,-192.0,-64.0,idle
0.0,192.0,64.0,idle
-320.0,-192.0,0.0,idle
0.0,0.0,0.0,idle
320.0,64.0,0.0,idle
0.0,0.0,-64.0,idle
0.0,320.0,0.0,idle
0.0,0.0,-128.0,idle
64.0,0.0,128.0,idle
0.0,0.0,0.0,idle
-64.0,0.0,64.0,idle
0.0,0.0,0.0,idle
-320.0,0.0,0.0,idle
0.0,-384.0,0.0,idle
0.0,0.0,-64.0,idle
320.0,64.0,64.0,idle
-320.0,0.0,0.0,idle
0.0,0.0,0.0,idle
0.0,0.0,0.0,idle
320.0,0.0,0.0,idle
-320.0,-64.0,-64.0,idle
0.0,0.0,-320.0,idle
0.0,64.0,384.0,idle
0.0,0.0,0.0,idle
0.0,128.0,0.0,idle
384.0,-128.0,-192.0,idle
0.0,-64.0,192.0,idle
0.0,192.0,-192.0,idle
-64.0,0.0,192.0,idle
64.0,-192.0,0.0,idle
-64.0,192.0,0.0,idle
0.0,-64.0,-192.0,idle
64.0,0.0,0.0,idle
0.0,-128.0,192.0,idle
-64.0,0.0,0.0,idle
0.0,0.0,0.0,idle
0.0,192.0,-192.0,idle
0.0,0.0,192.0,idle
0.0,-192.0,0.0,idle
0.0,192.0,0.0,idle
64.0,0.0,0.0,idle
0.0,-192.0,0.0,idle
0.0,0.0,0.0,idle
0.0,64.0,0.0,idle
-64.0,-64.0,0.0,idle
64.0,64.0,-64.0,idle
-64.0,0.0,0.0,idle
0.0,0.0,64.0,idle
0.0,-64.0,0.0,idle
0.0,0.0,-64.0,idle
0.0,0.0,0.0,idle
64.0,64.0,64.0,idle
-64.0,320.0,-384.0,idle
0.0,0.0,0.0,idle
0.0,0.0,320.0,idle
0.0,64.0,-320.0,idle
0.0,-64.0,0.0,idle
64.0,64.0,320.0,idle
-384.0,-64.0,64.0,idle
-64.0,0.0,-64.0,idle
64.0,-320.0,0.0,idle
0.0,320.0,64.0,idle
-64.0,-320.0,-64.0,idle
384.0,320.0,0.0,idle
-320.0,0.0,0.0,idle
320.0,0.0,64.0,idle
-320.0,64.0,-64.0,idle
0.0,-64.0,0.0,idle
0.0,0.0,0.0,idle
320.0,0.0,0.0,idle
-320.0,0.0,64.0,idle
320.0,-384.0,0.0,idle
0.0,64.0,-64.0,idle
0.0,0.0,0.0,idle
0.0,0.0,64.0,idle
0.0,0.0,0.0,idle
0.0,-64.0,0.0,idle
0.0,0.0,-192.0,idle
64.0,0.0,192.0,idle
0.0,0.0,0.0,idle
0.0,0.0,0.0,idle
-64.0,64.0,-192.0,idle
0.0,-64.0,64.0,idle
0.0,0.0,0.0,idle
0.0,0.0,-64.0,idle
0.0,192.0,192.0,idle
0.0,0.0,-192.0,idle
0.0,-128.0,0.0,idle
64.0,-64.0,192.0,idle
-64.0,0.0,0.0,idle
0.0,192.0,-192.0,idle
0.0,-128.0,192.0,idle
0.0,0.0,-64.0,idle
0.0,0.0,64.0,idle
-320.0,320.0,-64.0,idle
0.0,0.0,0.0,idle
320.0,0.0,0.0,idle
0.0,-320.0,-320.0,idle
0.0,0.0,320.0,idle
0.0,320.0,0.0,idle
-320.0,64.0,64.0,idle
0.0,-64.0,-64.0,idle
0.0,64.0,0.0,idle
-64.0,-64.0,0.0,idle
384.0,64.0,-320.0,idle
-320.0,-384.0,-64.0,idle
0.0,384.0,64.0,idle
0.0,-64.0,0.0,idle
0.0,0.0,320.0,idle
320.0,64.0,-320.0,idle
0.0,-64.0,384.0,idle
-320.0,-320.0,0.0,idle
320.0,320.0,-64.0,idle
0.0,0.0,0.0,idle
0.0,-320.0,0.0,idle
0.0,320.0,64.0,idle
0.0,-320.0,-64.0,idle
0.0,-64.0,0.0,idle
0.0,0.0,64.0,idle
0.0,0.0,-64.0,idle
0.0,0.0,64.0,idle
0.0,0.0,0.0,idle
0.0,0.0,0.0,idle
64.0,64.0,0.0,idle
0.0,0.0,-64.0,idle
-64.0,-64.0,-128.0,idle
0.0,64.0,0.0,idle
0.0,-64.0,0.0,idle
0.0,0.0,192.0,idle
0.0,192.0,-64.0,idle
-320.0,-192.0,0.0,idle
320.0,64.0,0.0,idle
0.0,0.0,0.0,idle
0.0,-64.0,-320.0,idle
0.0,64.0,320.0,idle
0.0,320.0,0.0,idle
0.0,0.0,0.0,idle
0.0,0.0,-320.0,idle
0.0,0.0,-64.0,idle
-320.0,64.0,64.0,idle
0.0,0.0,384.0,idle
320.0,-192.0,-64.0,idle
64.0,192.0,64.0,idle
-64.0,0.0,-64.0,idle
-320.0,0.0,-320.0,idle
0.0,0.0,320.0,idle
0.0,-64.0,0.0,idle
-64.0,0.0,0.0,idle
64.0,0.0,0.0,idle
320.0,0.0,0.0,idle
-320.0,0.0,0.0,idle
0.0,64.0,0.0,idle
0.0,0.0,0.0,idle
0.0,-64.0,64.0,idle
320.0,0.0,-64.0,idle
-384.0,-320.0,0.0,idle
64.0,0.0,64.0,idle
0.0,0.0,-64.0,idle
0.0,320.0,64.0,idle
320.0,-320.0,0.0,idle
64.0,0.0,0.0,idle
0.0,320.0,0.0,idle
-64.0,-320.0,0.0,idle
64.0,-64.0,0.0,idle
-64.0,0.0,0.0,idle
0.0,64.0,0.0,idle
64.0,320.0,0.0,idle
-64.0,-320.0,-64.0,idle
-320.0,320.0,64.0,idle
0.0,0.0,-64.0,idle
0.0,0.0,64.0,idle
0.0,0.0,-64.0,idle
0.0,0.0,0.0,idle
320.0,0.0,0.0,idle
0.0,-320.0,-320.0,idle
-384.0,384.0,320.0,idle
64.0,-192.0,-320.0,idle
0.0,192.0,0.0,idle
320.0,-64.0,320.0,idle
0.0,64.0,0.0,idle
0.0,0.0,-320.0,idle
0.0,-64.0,320.0,idle
0.0,0.0,0.0,idle
-320.0,64.0,0.0,idle
320.0,-384.0,0.0,idle
64.0,0.0,0.0,idle
-64.0,-64.0,0.0,idle
-320.0,384.0,-320.0,idle
320.0,0.0,0.0,idle
-320.0,64.0,384.0,idle
-64.0,-64.0,-64.0,idle
64.0,0.0,0.0,idle
0.0,0.0,0.0,idle
0.0,0.0,0.0,idle
320.0,-320.0,64.0,idle
0.0,0.0,-192.0,idle
0.0,0.0,192.0,idle
0.0,0.0,0.0,idle
-128.0,320.0,-192.0,idle
192.0,-320.0,192.0,idle
-64.0,0.0,0.0,idle
0.0,0.0,-64.0,idle
-320.0,0.0,64.0,idle
0.0,320.0,0.0,idle
320.0,-384.0,0.0,idle
0.0,0.0,-64.0,idle
-320.0,0.0,0.0,idle
320.0,64.0,0.0,idle
-320.0,0.0,64.0,idle
0.0,-64.0,0.0,idle
320.0,64.0,0.0,idle
0.0,0.0,0.0,idle
-320.0,-64.0,-64.0,idle
384.0,384.0,-320.0,idle
0.0,0.0,0.0,idle
-64.0,0.0,320.0,idle
-320.0,64.0,0.0,idle
320.0,-64.0,0.0,idle
-384.0,64.0,0.0,idle
0.0,0.0,0.0,idle
64.0,-64.0,0.0,idle
0.0,0.0,0.0,idle
0.0,-128.0,-320.0,idle
0.0,0.0,0.0,idle
0.0,192.0,0.0,idle
0.0,0.0,0.0,idle
0.0,0.0,0.0,idle
0.0,-192.0,-64.0,idle
0.0,192.0,64.0,idle
0.0,-192.0,320.0,idle
320.0,0.0,0.0,idle
-320.0,128.0,-320.0,idle
0.0,64.0,0.0,idle
320.0,0.0,320.0,idle
-384.0,-64.0,0.0,idle
0.0,0.0,0.0,idle
0.0,-320.0,0.0,idle
384.0,384.0,-384.0,idle
0.0,-64.0,384.0,idle
0.0,64.0,0.0,idle
-320.0,-64.0,0.0,idle
0.0,0.0,0.0,idle
0.0,64.0,64.0,idle
320.0,0.0,0.0,idle
-320.0,0.0,-64.0,idle
320.0,-64.0,64.0,idle
-320.0,64.0,-64.0,idle
0.0,0.0,0.0,idle
320.0,-64.0,64.0,idle
-320.0,64.0,-64.0,idle
0.0,0.0,0.0,idle
0.0,0.0,64.0,idle
0.0,-64.0,-384.0,idle
320.0,64.0,0.0,idle
0.0,0.0,0.0,idle
-384.0,0.0,320.0,idle
64.0,-192.0,0.0,idle
-64.0,192.0,0.0,idle
64.0,0.0,-384.0,idle
0.0,-192.0,64.0,idle
0.0,0.0,0.0,idle
0.0,0.0,-64.0,idle
-64.0,64.0,64.0,idle
0.0,0.0,-64.0,idle
64.0,0.0,0.0,idle
0.0,-64.0,0.0,idle
0.0,0.0,64.0,idle
0.0,0.0,-64.0,idle
0.0,384.0,192.0,idle
128.0,64.0,0.0,idle
-128.0,-256.0,-192.0,idle
0.0,-128.0,0.0,idle
0.0,0.0,64.0,idle
320.0,-64.0,-64.0,idle
0.0,0.0,64.0,idle
0.0,0.0,0.0,idle
-320.0,192.0,0.0,idle
0.0,0.0,0.0,idle
0.0,-64.0,0.0,idle
0.0,64.0,0.0,idle
0.0,0.0,320.0,idle
0.0,0.0,0.0,idle
0.0,-64.0,0.0,idle
0.0,0.0,0.0,idle
320.0,64.0,0.0,idle
-320.0,-64.0,0.0,idle
320.0,0.0,0.0,idle
-320.0,64.0,0.0,idle
0.0,0.0,-320.0,idle
320.0,-64.0,0.0,idle
0.0,0.0,0.0,idle
0.0,0.0,0.0,idle
-320.0,0.0,0.0,idle
-64.0,0.0,0.0,idle
64.0,64.0,-64.0,idle
0.0,0.0,0.0,idle
0.0,0.0,64.0,idle
0.0,-192.0,0.0,idle
320.0,0.0,0.0,idle
-320.0,0.0,320.0,idle
0.0,192.0,0.0,idle
0.0,0.0,0.0,idle
-64.0,-192.0,0.0,idle
64.0,192.0,-128.0,idle
-64.0,-192.0,192.0,idle
64.0,64.0,0.0,idle
-64.0,128.0,0.0,idle
0.0,-64.0,0.0,idle
64.0,64.0,0.0,idle
-64.0,-192.0,-64.0,idle
64.0,0.0,0.0,idle
-64.0,0.0,-320.0,idle
64.0,0.0,0.0,idle
0.0,0.0,0.0,idle
0.0,0.0,320.0,idle
-64.0,192.0,-320.0,idle
64.0,0.0,0.0,idle
-64.0,0.0,0.0,idle
192.0,0.0,0.0,idle
-128.0,-192.0,320.0,idle
0.0,192.0,0.0,idle
0.0,0.0,0.0,idle
0.0,-192.0,-320.0,idle
-64.0,0.0,320.0,idle
64.0,192.0,-320.0,idle
0.0,0.0,320.0,idle
320.0,-64.0,-320.0,idle
0.0,0.0,-64.0,idle
-320.0,64.0,64.0,idle
320.0,-64.0,0.0,idle
0.0,64.0,-64.0,idle
0.0,0.0,64.0,idle
0.0,0.0,0.0,idle
0.0,-64.0,0.0,idle
0.0,0.0,-64.0,idle
0.0,0.0,64.0,idle
0.0,0.0,320.0,idle
0.0,0.0,-320.0,idle
0.0,0.0,0.0,idle
0.0,0.0,0.0,idle
-320.0,64.0,0.0,idle
0.0,-192.0,320.0,idle
0.0,0.0,-384.0,idle
320.0,192.0,64.0,idle
-320.0,-192.0,0.0,idle
0.0,0.0,-64.0,idle
320.0,64.0,64.0,idle
-320.0,0.0,0.0,idle
-64.0,-64.0,320.0,idle
64.0,0.0,0.0,idle
0.0,0.0,-320.0,idle
0.0,64.0,-64.0,idle
-64.0,0.0,0.0,idle
64.0,0.0,64.0,idle
-64.0,0.0,-64.0,idle
0.0,-64.0,0.0,idle
64.0,0.0,64.0,idle
0.0,192.0,0.0,idle
0.0,0.0,0.0,idle
0.0,-192.0,-64.0,idle
0.0,0.0,0.0,idle
0.0,0.0,0.0,idle
0.0,64.0,64.0,idle
320.0,128.0,0.0,idle
0.0,-64.0,320.0,idle
-320.0,64.0,0.0,idle
0.0,0.0,0.0,idle
0.0,-64.0,0.0,idle
-64.0,0.0,0.0,idle
0.0,64.0,0.0,idle
384.0,0.0,0.0,idle
-384.0,-384.0,0.0,idle
64.0,320.0,0.0,idle
0.0,64.0,0.0,idle
0.0,-64.0,-320.0,idle
0.0,64.0,0.0,idle
0.0,0.0,-64.0,idle
-64.0,-192.0,64.0,idle
64.0,192.0,0.0,idle
320.0,-192.0,0.0,idle
-320.0,0.0,0.0,idle
-64.0,192.0,0.0,idle
192.0,-192.0,-64.0,idle
-128.0,64.0,0.0,idle
-64.0,320.0,0.0,idle
0.0,0.0,64.0,idle
0.0,-320.0,0.0,idle
0.0,320.0,-64.0,idle
64.0,-320.0,0.0,idle
320.0,-64.0,64.0,idle
-320.0,0.0,-64.0,idle
320.0,64.0,0.0,idle
0.0,-64.0,64.0,idle
-320.0,64.0,-64.0,idle
-64.0,-64.0,0.0,idle
64.0,192.0,64.0,idle
0.0,-192.0,0.0,idle
320.0,64.0,0.0,idle
0.0,-64.0,320.0,idle
-320.0,192.0,0.0,idle
0.0,-192.0,-320.0,idle
0.0,192.0,320.0,idle
0.0,0.0,-320.0,idle
-64.0,-192.0,0.0,idle
64.0,192.0,0.0,idle
0.0,0.0,0.0,idle
0.0,0.0,320.0,idle
0.0,-192.0,-384.0,idle
0.0,0.0,0.0,idle
0.0,192.0,64.0,idle
-64.0,0.0,0.0,idle
64.0,0.0,0.0,idle
0.0,0.0,0.0,idle
0.0,-64.0,0.0,idle
0.0,0.0,320.0,idle
0.0,64.0,0.0,idle
0.0,0.0,0.0,idle
320.0,0.0,0.0,idle
0.0,0.0,0.0,idle
-384.0,0.0,-320.0,idle
0.0,-192.0,0.0,idle
64.0,0.0,0.0,idle
-64.0,0.0,-64.0,idle
0.0,0.0,192.0,idle
0.0,384.0,-192.0,idle
384.0,0.0,64.0,idle
-384.0,-320.0,-64.0,idle
64.0,0.0,192.0,idle
-64.0,-64.0,-128.0,idle
0.0,384.0,-64.0,idle
0.0,0.0,0.0,idle
0.0,-320.0,0.0,idle
0.0,-64.0,64.0,idle
64.0,448.0,128.0,idle
0.0,-64.0,0.0,idle
0.0,-320.0,-192.0,idle
-64.0,320.0,0.0,idle
64.0,0.0,64.0,idle
0.0,-320.0,0.0,idle
0.0,320.0,-64.0,idle
0.0,0.0,0.0,idle
-64.0,-320.0,64.0,idle
0.0,320.0,-64.0,idle
64.0,64.0,192.0,idle
0.0,-64.0,-192.0,idle
0.0,-320.0,0.0,idle
-64.0,0.0,0.0,idle
0.0,320.0,192.0,idle
0.0,0.0,0.0,idle
0.0,0.0,-192.0,idle
0.0,-320.0,192.0,idle
64.0,0.0,0.0,idle
0.0,320.0,0.0,idle
0.0,0.0,-192.0,idle
320.0,-384.0,192.0,idle
0.0,0.0,0.0,idle
-320.0,0.0,-192.0,idle
-64.0,0.0,0.0,idle
64.0,192.0,64.0,idle
0.0,-64.0,-64.0,idle
-64.0,64.0,64.0,idle
64.0,-64.0,0.0,idle
0.0,0.0,128.0,idle
0.0,0.0,-192.0,idle
0.0,64.0,0.0,idle
320.0,-64.0,64.0,idle
-320.0,0.0,0.0,idle
320.0,0.0,0.0,idle
-320.0,64.0,0.0,idle
0.0,0.0,0.0,idle
320.0,-192.0,-64.0,idle
-320.0,0.0,64.0,idle
0.0,0.0,0.0,idle
320.0,384.0,128.0,idle
0.0,0.0,-192.0,idle
-384.0,-384.0,0.0,idle
64.0,192.0,64.0,idle
320.0,-192.0,128.0,idle
0.0,192.0,0.0,idle
-320.0,0.0,0.0,idle
0.0,-128.0,-192.0,idle
320.0,-64.0,192.0,idle
-384.0,0.0,-192.0,idle
0.0,0.0,0.0,idle
64.0,0.0,64.0,idle
0.0,192.0,-64.0,idle
0.0,0.0,64.0,idle
0.0,-192.0,0.0,idle
320.0,0.0,0.0,idle
-320.0,128.0,-64.0,idle
0.0,-320.0,64.0,idle
0.0,320.0,0.0,idle
320.0,0.0,0.0,idle
-320.0,-320.0,320.0,idle
320.0,320.0,0.0,idle
0.0,0.0,0.0,idle
0.0,0.0,0.0,idle
0.0,0.0,0.0,idle
0.0,0.0,-320.0,idle
0.0,-320.0,0.0,idle
-320.0,384.0,-64.0,idle
0.0,-64.0,64.0,idle
0.0,0.0,0.0,idle
0.0,64.0,0.0,idle
0.0,0.0,-64.0,idle
0.0,0.0,64.0,idle
320.0,0.0,-64.0,idle
-320.0,0.0,64.0,idle
0.0,-192.0,0.0,idle
320.0,64.0,0.0,idle
0.0,-64.0,0.0,idle
-320.0,0.0,-64.0,idle
0.0,64.0,0.0,idle
0.0,128.0,0.0,idle
-64.0,0.0,0.0,idle
64.0,0.0,64.0,idle
320.0,0.0,-64.0,idle
-320.0,0.0,64.0,idle
-64.0,0.0,0.0,idle
64.0,0.0,0.0,idle
0.0,-64.0,-64.0,idle
-64.0,64.0,0.0,idle
64.0,0.0,64.0,idle
-64.0,0.0,0.0,idle
64.0,-64.0,320.0,idle
0.0,64.0,0.0,idle
0.0,-64.0,-320.0,idle
-64.0,0.0,0.0,idle
64.0,0.0,0.0,idle
0.0,0.0,0.0,idle
0.0,64.0,320.0,idle
0.0,-64.0,0.0,idle
0.0,-320.0,0.0,idle
0.0,320.0,0.0,idle
0.0,0.0,0.0,idle
0.0,0.0,0.0,idle
0.0,64.0,-320.0,idle
-64.0,-192.0,0.0,idle
64.0,0.0,-64.0,idle
-64.0,0.0,64.0,idle
0.0,64.0,-64.0,idle
0.0,128.0,0.0,idle
0.0,0.0,192.0,idle
0.0,-192.0,-192.0,idle
64.0,64.0,0.0,idle
0.0,0.0,192.0,idle
0.0,-64.0,-192.0,idle
0.0,0.0,0.0,idle
0.0,64.0,64.0,idle
0.0,-64.0,-64.0,idle
-64.0,0.0,0.0,idle
64.0,0.0,192.0,idle
320.0,0.0,-192.0,idle
0.0,192.0,64.0,idle
-320.0,0.0,320.0,idle
0.0,0.0,0.0,idle
0.0,-64.0,0.0,idle
-64.0,64.0,-320.0,idle
64.0,-64.0,320.0,idle
0.0,0.0,0.0,idle
-64.0,0.0,0.0,idle
384.0,64.0,0.0,idle
-320.0,0.0,0.0,idle
0.0,0.0,0.0,idle
128.0,0.0,0.0,idle
-192.0,-64.0,-384.0,idle
64.0,0.0,0.0,idle
0.0,0.0,384.0,idle
0.0,64.0,-320.0,idle
0.0,-64.0,320.0,idle
0.0,0.0,-320.0,idle
0.0,0.0,0.0,idle
320.0,-128.0,0.0,idle
-320.0,192.0,0.0,idle
0.0,-192.0,-64.0,idle
0.0,64.0,0.0,idle
0.0,0.0,64.0,idle
320.0,0.0,0.0,idle
0.0,0.0,-64.0,idle
-320.0,0.0,0.0,idle
0.0,-64.0,0.0,idle
0.0,64.0,0.0,idle
0.0,0.0,64.0,idle
0.0,0.0,-64.0,idle
0.0,-64.0,0.0,idle
0.0,64.0,64.0,idle
-64.0,-64.0,0.0,idle
64.0,0.0,0.0,idle
0.0,0.0,320.0,idle
320.0,0.0,0.0,idle
-320.0,0.0,-320.0,idle
320.0,0.0,0.0,idle
-320.0,192.0,-64.0,idle
-64.0,-192.0,0.0,idle
384.0,0.0,0.0,idle
